match_id,competition_id,home_team_id,home_team,away_team_id,away_team
091feaa4,2f0de05a,1cbf55bf,Lyon,247cd1a2,Stade Francais Paris
07433436,2f0de05a,b6f40da2,Montpellier Herault,73e02b8e,Pau
b622e4e1,2f0de05a,94b39f65,Stade Toulousain,2e49b214,Racing 92
746ac402,622e1591,d1ec8848,Alumni,a1b6f895,SIC
7914b952,622e1591,e89f2930,CASI,cfd58d37,Club Atletico del Rosario
b8479561,622e1591,4bbb4db8,San Luis,1ca52534,Regatas Bella Vista
cdb841b6,622e1591,39f4260d,Newman,43ac9ccf,Los Tilos
8c6957aa,622e1591,757f3f81,CUBA,95aa31e1,Belgrano AC
2a758249,622e1591,c14b1ed3,Pucará,bcbeddd2,Hindú
1a00b94c,814f16bc,efc79707,Wellington,d8f064ad,Waikato
ba022897,814f16bc,fb93c02e,Manawatu,140c0f3f,Otago
b13474ec,814f16bc,b5791a75,North Harbour,b5eec0e0,Taranaki
865ba7bb,814f16bc,9d4b9a14,Southland,a116adbb,Counties Manukau
6e09b65e,2f0de05a,2e49b214,Racing 92,94b39f65,Toulouse
a91d3899,679f8455,d990d095,Bay Of Plenty,ea0e6b6c,Hawkes Bay
49c488c7,679f8455,0d45e935,Northland,231ffe89,Tasman Makos
6c423b1b,822142db,6992ab09,Dax,ebeace3a,Grenoble
ff03fc4a,ee0c6883,aa4f64f5,Bath Rugby,9aa9df8a,La Rochelle
dd4bbbdd,83d92007,973ef5cc,Dragons,b6f40da2,Montpellier Herault
11e4fc7b,83d92007,59c67efa,Gloucester Rugby,242b5b2e,Edinburgh
85072eb6,822142db,ebeace3a,Grenoble,6de7a527,Mont De Marsan
537e1b05,822142db,deee3415,Beziers,d5468acc,Brive
6b20ce54,822142db,870e9fb0,Aurillac,791d6c23,Valence Romans
b323273d,822142db,6038c3ba,Nice,8b15a375,Uso Nevers
84485c18,822142db,2bac4677,Agen,53983719,Oyonnax
7a5efd21,822142db,98fce2f7,Biarritz,6992ab09,Dax
be321a03,822142db,af22c862,Soyaux Angouleme,677fece4,Us Montauban
21f6728a,679f8455,d990d095,Bay Of Plenty,140c0f3f,Otago
991221ac,2f0de05a,f7e939a6,Bordeaux Begles,2e49b214,Racing 92
42b9e33e,0ab9177f,f11abcf7,New England Free Jacks,5c348669,Utah Warriors
10126c8d,0ab9177f,a82abc99,Anthem Rugby Carolina,1b2d3d61,Miami Sharks
42f052af,0ab9177f,c8cdc810,RFCLA,b59edee8,Nola Gold
99191eca,822142db,2bac4677,Agen,a9955246,Colomiers
3b773a33,2c3df351,566d5199,Harlequins,895ae027,Northampton Saints
3fb37e11,50e6935b,5fa975a5,Ospreys,af0bb046,Benetton Treviso
fd50c2de,822142db,870e9fb0,Aurillac,4f43e2ca,Provence Rugby
e14a7019,822142db,deee3415,Beziers,a9955246,Colomiers
4de395ca,822142db,6de7a527,Mont De Marsan,677fece4,Us Montauban
c59090a7,822142db,6992ab09,Dax,af22c862,Soyaux Angouleme
e3944071,822142db,2bac4677,Agen,8b15a375,Uso Nevers
af624b8d,822142db,6038c3ba,Nice,791d6c23,Valence Romans
8325a9f6,822142db,98fce2f7,Biarritz,ebeace3a,Grenoble
2b7acb89,2f0de05a,388e620c,Clermont Auvergne,f7e939a6,Bordeaux Begles
b60b98c9,2f0de05a,a9650c97,Castres Olympique,b6f40da2,Montpellier Herault
e8628c36,2f0de05a,30ad8a8a,Toulon,1cbf55bf,Lyon
b2461d9e,2f0de05a,73e02b8e,Pau,2e49b214,Racing 92
7249f4e6,2f0de05a,0120f1b3,Perpignan,34149c5c,Vannes
fd24e7a9,2f0de05a,9aa9df8a,La Rochelle,247cd1a2,Stade Francais Paris
8e855aef,30e7e1ca,f11abcf7,England,199c6a68,New Zealand
17de87ef,30e7e1ca,b8b8b698,Fiji,9d4b9a14,Scotland
3ffb766a,2c3df351,08a046f2,Exeter Chiefs,47d5fe17,Bristol Rugby
14d7154c,2c3df351,566d5199,Harlequins,aa4f64f5,Bath Rugby
bf77ead7,2c3df351,59c67efa,Gloucester Rugby,d7d74d92,Sale Sharks
bc256e5c,50e6935b,bb49fc47,Lions,8ab9f1c9,Zebre
b817fba1,50e6935b,1b71011b,Bulls,1ebc0e7a,Leinster
14357a98,50e6935b,973ef5cc,Dragons,0e10c257,Scarlets
404c3934,50e6935b,5fa975a5,Ospreys,79c81be4,Cardiff Blues
ea4f28f9,50e6935b,1b2d3d61,Sharks,afe6fb82,Munster
593e6ae4,50e6935b,6f08f859,Glasgow Warriors,6f5af01b,Connacht
a2f7fe84,2f0de05a,9aa9df8a,La Rochelle,388e620c,Clermont Auvergne
5f82d481,2f0de05a,fe2eda63,Bayonne,b6f40da2,Montpellier Herault
8797bf75,2f0de05a,d5468acc,Brive,73e02b8e,Pau
ae61d703,2f0de05a,a9650c97,Castres Olympique,30ad8a8a,Toulon
b121d3c6,2f0de05a,0120f1b3,Perpignan,2e49b214,Racing 92
a710416b,2f0de05a,247cd1a2,Stade Francais Paris,94b39f65,Stade Toulousain
bde0a934,bc5d9ec5,79c81be4,Blues,b6319444,New South Wales Waratahs
4c6c1701,bc5d9ec5,510fa4b4,Western Force,f921cb8b,Highlanders
51bd8d02,622e1591,e89f2930,CASI,bcbeddd2,Hindú
08f7b540,622e1591,757f3f81,CUBA,2700f87a,La Plata Rugby Club
5e2cfd6d,622e1591,39f4260d,Newman,a1b6f895,SIC
03cd92ec,622e1591,95aa31e1,Belgrano AC,b9120e6d,B.A.C.R.C.
1e77137b,622e1591,4bbb4db8,San Luis,d1ec8848,Alumni
02d60232,622e1591,c14b1ed3,Pucará,cfd58d37,Club Atletico del Rosario
9a41676c,23df32a1,cef2a9aa,Israel,15d84e0e,Slovenia
c3545e75,23df32a1,8839b777,Andorra,ed33647d,Finland
bce0d0a9,2f0de05a,247cd1a2,Stade Francais,94b39f65,Toulouse
cedf69c1,c2f89f12,1b71011b,Blue Bulls,bb49fc47,Golden Lions
7f0c50dd,d7c59c8c,31781a9e,Blackrams Tokyo,87130580,Mitsubishi Sagamihara Dynaboars
