match_id,date,season,competition_id,competition,venue_id,venue,city_played,home_team,away_team,home_team_id,away_team_id,completed,is_tournament,played_on_grass,attendance,home_team_form,away_team_form,referee,kickoff_time,home_score,away_score
e1f80015,20251031,2025.0,822142db,Pro D2,17331dad,Stade Armandie,,Agen,Dax,2bac4677,6992ab09,True,,,,,,,14:30,31.0,0.0
7b85c478,20240407,2024.0,0f8b619e,Sevens,90fa9588,Unknown,,South Africa 7s Womens,Spain 7s Womens,adac2e0d,e18ca4eb,True,,,,,,,16:00,17.0,14.0
e99808b8,20220527,2022.0,bc5d9ec5,Super Rugby Pacific,da851e91,Apollo Projects Stadium,Christchurch,Crusaders,Queensland Reds,93b14fff,b6b6eba1,True,True,True,,WWWWW,LLWLL,,16:00,28.0,15.0
ccb5649a,20241011,2024.0,50e6935b,United Rugby Championship,59853120,Scotstoun Stadium,Glasgow,Glasgow Warriors,Zebre,6f08f859,8ab9f1c9,True,True,True,,WWWWL,LLLWL,,16:00,33.0,3.0
11e3460f,20250628,2025.0,622e1591,URBA Top 12,90fa9588,Unknown,,Regatas Bella Vista,Los Tilos,1ca52534,43ac9ccf,True,False,,,WLWLL,LWLWW,,,,
c854a109,20231202,2023.0,0f8b619e,Sevens,90fa9588,Unknown,,Samoa 7s Mens,South Africa 7s Mens,5bb29c36,8e822abe,True,,,,,,,16:00,14.0,22.0
675c5c7d,20250606,2025.0,bc5d9ec5,Super Rugby Pacific,da851e91,Apollo Projects Stadium,Christchurch,Crusaders,Queensland Reds,93b14fff,b6b6eba1,True,True,True,,WWWWW,LLWLL,,,,
28f3eb14,20230115,2023.0,83d92007,European Rugby Challenge Cup,fb155133,Cardiff Arms Park,Cardiff,Cardiff Blues,Newcastle Falcons,79c81be4,93542906,True,True,True,,LWLWL,WLLWW,,16:00,42.0,10.0
232db161,20231202,2023.0,0f8b619e,Sevens,90fa9588,Unknown,,France 7s Mens,Usa 7s Mens,1a2f759f,5bb29c36,True,,,,,,,16:00,14.0,26.0
d34b8710,20230310,2023.0,d7c59c8c,Japan Rugby League One,ae0d6e95,Prince Chichibu Memorial Stadium,,Blackrams Tokyo,Kobelco Kobe Steelers,31781a9e,d7b21cfb,True,,,,,,,16:00,41.0,26.0
759b6128,20221105,2022.0,23df32a1,International Test Match,53616aa2,Stadionul National Arcul de Triumf,Bucharest,Romania,Chile,e095cb8e,7f4e0a32,True,False,True,,LLWLL,LWTWL,,,,
7a3a4323,20250315,2025.0,0ab9177f,Major League Rugby,b36b3368,Baptist Health Community Field,Fort Lauderdale,Miami Sharks,Utah Warriors,1b2d3d61,5c348669,True,False,True,,LLWLW,LWWWW,,,,
3a204068,20250927,2025.0,622e1591,URBA Top 12,90fa9588,Unknown,,B.A.C.R.C.,La Plata Rugby Club,b9120e6d,2700f87a,True,False,,,WLWLL,LLLWL,,,,
5d9c86f8,20220122,2022.0,ee0c6883,European Rugby Champions Cup,112f82d3,Affidea Stadium,Belfast,Ulster,Clermont Auvergne,0aa2b3cc,388e620c,True,True,True,,WWLLW,WLLLW,,16:00,34.0,31.0
5783882e,20250823,2025.0,b5e3c6bd,Women's Rugby World Cup,81e9ced3,Sandy Park,Exeter,France Women,Italy Women,29c8e3d4,66f91b55,True,True,True,,LLWWW,WLLLW,,14:30,24.0,0.0
